"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Algeria","Export","Crustaceans","3591","","4052","","4415","","4850","","7089","","9167","","8867","","8786","","8074","","5335","","3584","","4049","","2771","","2277","","2849","","2278",""
"Algeria","Export","Fish","382","","585","","983","","859","","530","","903","","1677","","1754","","3154","","2209","","1357","","443","","1039","","1755","","1558","","1486",""
"Algeria","Import","Crustaceans","71","","44","","471","","498","","903","","1178","","796","","1291","","1407","","2918","","3135","","4286","","5138","","6713","","8239","","7124",""
"Algeria","Import","Fish","11990","","13600","","8206","","15345","","21798","","19350","","28950","","25414","","28891","","49736","","46003","","52055","","56841","","81094","","124682","","99293",""
"Angola","Export","Crustaceans","3425","F","4070","F","9755","F","2166","F","2347","F","9951","F","11648","F","7420","F","7876","F","7694","F","10559","F","6184","F","12125","F","14692","F","14774","F","16421","F"
"Angola","Export","Fish","4291","F","8007","F","6632","F","1937","F","1676","F","1522","F","6054","F","12913","F","25207","F","32468","F","28617","F","25652","","44525","","49679","F","49149","F","46693",""
"Angola","Import","Crustaceans","95","F","156","F","399","F","287","F","277","F","718","F","889","F","1491","F","1127","F","3715","","3030","","4802","","10197","","5768","","10838","F","5032",""
"Angola","Import","Fish","16180","F","17751","F","17674","F","19950","F","31703","F","32338","F","59713","F","67985","F","121561","F","111642","","119547","","198178","","331732","","248574","","306945","","218737",""
"Benin","Export","Crustaceans","1446","","2337","","3098","","1862","","627","","945","","1003","","50","","0","0","13","","0","-","132","","26","","3","","0","0","0","-"
"Benin","Export","Fish","21","","13","","15","","30","","25","","0","-","141","","334","","33","","79","","1342","","1130","","347","","373","","919","","243",""
"Benin","Import","Crustaceans","11","","3","","42","","1","","0","-","163","","228","","0","-","1","","0","-","1","","8","","28","","13","","14","","1",""
"Benin","Import","Fish","8577","","4760","","7872","","10184","","11235","","15930","","18794","","24294","","31851","","27482","","27322","","32312","","35186","","38847","","54557","","61056",""
"Botswana","Export","Crustaceans","8","","8","","1","","5","","6","","0","0","0","-","6","","3","","8","","3","","0","0","0","0","0","0","0","0","46",""
"Botswana","Export","Fish","26","","53","","64","","44","","26","","80","","42","","10","","19","","271","","131","","192","","458","","504","","215","","631",""
"Botswana","Import","Crustaceans","1197","","725","","320","","225","","207","","87","","137","","192","","135","","170","","163","","326","","85","","126","","242","","292",""
"Botswana","Import","Fish","8580","","3410","","3578","","6309","","6895","","6821","","6037","","6732","","8094","","8987","","12842","","10765","","13082","","11426","","13644","","10879",""
"Burkina Faso","Export","Fish","2","","11","","0","-","0","-","0","-","224","","450","F","801","","1159","","1025","","654","","625","","756","","650","","626","","838",""
"Burkina Faso","Import","Crustaceans","23","","12","","7","","14","","21","","36","","24","F","159","","41","","102","","204","","139","","110","","141","","100","","36",""
"Burkina Faso","Import","Fish","1328","","686","","742","","1124","","1851","","3816","","4826","F","5594","","6418","","8606","","8441","","9536","","10344","","10414","","11353","","11071",""
"Burundi","Export","Fish","132","","183","","163","","137","","162","F","173","","214","","228","","207","","226","","184","","217","","180","","320","","324","","215",""
