Land_Area,Trade flow,Commodity,a2000,S_2000,2001,S_2001,2002,S_2002,2003,S_2003,2004,S_2004,2005,S_2005,2006,S_2006,2007,S_2007,2008,S_2008,2009,S_2009,a2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,a2015,S_2015
Austria,Export,Crustaceans,182,,211,,137,,186,,219,,401,,2216,,3585,,4939,,4575,,2806,,7275,,8656,,8072,,5466,,4685,
Austria,Export,Fish,7836,,6533,,17916,,30934,,41967,,17220,,13895,,22031,,31093,,36878,,45112,,67647,,77492,,80955,,75330,,64929,
Austria,Import,Crustaceans,19435,,19413,,18005,,22408,,27547,,27403,,32724,,47178,,47323,,45470,,50070,,54299,,54169,,55188,,71075,,66750,
Austria,Import,Fish,127970,,147371,,162952,,204720,,241322,,228189,,265571,,351972,,378666,,364870,,367393,,442941,,434442,,487711,,499154,,427740,
Belgium,Export,Crustaceans,194848,,194632,,225370,,308873,,351165,,374471,,479201,,523859,,556322,,445892,,477660,,585043,,456891,,486299,,548058,,455102,
Belgium,Export,Fish,242944,,299381,,314392,,408044,,452097,,481364,,524042,,549087,,585109,,518884,,532371,,549026,,489151,,499925,,535266,,506840,
Belgium,Import,Crustaceans,347015,,326160,,362059,,497101,,519891,,562460,,677279,,777786,,831425,,642083,,689678,,838684,,694747,,707909,,837431,,665969,
Belgium,Import,Fish,550871,,557562,,581938,,721606,,802504,,865401,,979839,,1059148,,1148676,,1032982,,1058522,,1148572,,1069426,,1165244,,1264407,,1095598,
Denmark,Export,Crustaceans,501875,,434583,,477678,,563354,,691135,,772584,,807122,,824041,,891000,,706909,,713233,,736648,,776766,,828183,,857462,,769561,
Denmark,Export,Fish,2002252,,1942854,,2052010,,2336661,,2501106,,2531540,,2685785,,2854955,,3162800,,2757270,,2840025,,3038028,,2735199,,3129324,,3211402,,2821984,
Denmark,Import,Crustaceans,366825,,313702,,337639,,399639,,469924,,527652,,537955,,550409,,605180,,487403,,475475,,557903,,547722,,584870,,647510,,582210,
